Country,Operator,Network Code,Display Text
Indonesia,Telkomsel,510-10,IND T-SEL
Iran,KFZO (TKC),432-14,KIFZO
Iraq,Orascom,418-30,IRAQNA
Ireland,Meteor,272-03,METEOR
Ireland,O2 Communications,272-02,O2 – IRL
Ireland,Vodafone Ireland (Eircell),272-01,IRL Voda
Isle of Man,Manx Telecom (Pronto),234-58,Pronto
Israel,Cellcom,425-02,IL CELLCOM
Israel,Partner Communications,425-01,IL ORANGE
Italy,Telecom Italia Mobile,222-01,TIM
Italy,Vodafone Omnitel N.V.,222-10,voda IT
Italy,Wind Telecomunicazioni,222-88,I-WIND
Jamaica,Mossel / Digicel,338-05,JM DIGICEL
Japan,Vodafone,440-20,Voda JP
Jersey,Jersey Telecom (JT GSM),234-50,JT-GSM
Jordan,JMTS / Fastlink,416-01,JOR FASTLINK
Jordan,MobileCom,416-77,JOR MobCom
Kazakhstan,KaR TeL,401-01,KZ K MOBILE
Kazakhstan,K’Cell,401-02,KZ KCELL
Kenya,Saraficom,639-02,SAF-COM
Kenya,Kencell Communications,639-03,KENCELL
Korea,——,,
Kyrgyz Republic,Bitel,437-01,KGZ BITEL
Kuwait,MTCNet,419-02,KT MTC
Kuwait,Wataniya Telecom,419-03,KT WATANIYA
Lao,Millcom Lao,457-08,TANGO
Latvia,Latvian Mobile Telephone (LMT),247-01,LMT GSM
Latvia,Tele2 (Baltcom),247-02,BALTCOM
Lebanon,LibanCell,415-03,RL LibCL
Lebanon,FTML Cellis,415-01,RL CELLIS
Liechtenstein,Mobilkom Liechtenstein,295-05,FL1
Liechtenstein,Orange Liechtenstein,295-02,OFL
Liechtenstein,Tele2 (Tango),295-77,LI TANGO
Lithuania,Omnitel,246-01,OMT
Lithuania,UAB Tele2,246-03,TELE2
Lithuania,UAB Bite GSM,246-02,BITE
Luxemburg,P+T Luxemburg (LUXGSM),270-01,P&T L
Luxemburg,Tango,270-77,L Tango
Macau,CTM,455-01,MAC CTMGSM
Macau,SmarTone Macao,455-00,MAC SmarTone
Macau,Hutchison Macau,455-03,MAC Hutchison
Macedonia (F.Y.R.o.M.),Cosmofon AD,294-02,COSMOFON
Macedonia (F.Y.R.o.M.),Mobimak AD,294-01,MOBI-M
Malaysia,Maxis Communciations,502-12,MY MAXIS
Malaysia,DiGi Telecommunications,502-16,MY DiGi
Malaysia,Celcom GSM,502-19,MY CELCOM
Malawi,Celtel,650-10,CELTEL MW
Malawi,TNM Malawi / Callpoint,650-01,MW CP 900
Maldives,Dhi Mobile,472-01,D-MOBILE
Mali,Malitel,610-01,MALITEL ML
Malta,Mobisle (go mobile),278-21,gomobile
Malta,Vodafone Malta,278-01,voda MT
Mauritius,Cellplus,617-01,CELL+ MRU
Mauritius,Emtel,617-10,EMTEL MRU
Mexico,—–,,
Moldavia,Moldcell,259-02,MD 02
Moldavia,VoXtel,259-01,VOXTEL
Mongolia,MobiCom,428-99,MN MobiCom
Morocco,Itissalat Al-Maghrib (IAM),604-01,MOR IAM
Morocco,Medi Telecom (Meditel),604-00,MOR MEDITEL
Mozambique,Mocambique Cellular / mCell,643-01,MOZ – mCel
Namibia,MTC,649-01,MTC NAM
Nepal,Nepal Telecom,429-01,
Netherlands,KPN Mobile,204-08,"NL PTT, NL KPN"
Netherlands,Orange Nederland,204-20,Orange
Netherlands,T-Mobile Netherlands,204-16,TMO NL
Netherlands,Telfort,204-12,NL Tlfrt
Netherlands,Vodafone Libertel,204-04,voda NL
New Zealand,Vodafone,530-01,Vodafone NZ
Nicaragua,Enitel Movil,710-21,Enitel
Niger,Celtel Niger,614-02,NE-CELTEL
Nigeria,Econet Wireless,621-20,ECONET NG
Nigeria,MTN,621-30,MTN-NG
Nigeria,Glo Mobile,621-50,Glo NG
Norway,Netcom,242-02,N COM
Norway,Telenor Mobil,242-01,TELENOR
Norway,Mobile Norway,,
Oman,Oman Telecommunications Co,422-02,OMAN
Pakistan,Molbilink,410-01,Mobilink
Pakistan,Pak Telecom Mobile,410-03,UFONE
Palestinian Authority,Palestine Telecomm Co,425-05,JAWWAL
Panama,Cable & Wireless,714-01,PANCW
Paraguay,Hola Paraguay / Vox,744-01,HOLA
Peru,TIM Peru,716-10,TIM
Philippines,Globe Telecom,515-02,Globe Telecom-PH
Philippines,Digitel,515-05,PH Sun Cellular
Philippines,Smart,515-03,SMART
Poland,PTK Centertel (IDEA),260-03,PL IDEA
Poland,Polkomtel (PLUS),260-01,PL-PLUS
Poland,PTC (Era),260-02,Era
Portugal,Optimus,268-03,P OPTIMUS
Portugal,TMN,268-06,P TMN
Portugal,Vodafone Portugal,268-01,voda P
Qatar,Q-Tel (QATARNET),427-01,Q-NET
Reunion (La),Orange,647-00,ORANGE RU
Reunion (La),SFR Reunion,647-10,SFR RU
Romania,Cosmorom,226-03,Cosmorom
Romania,MobiFon (Connex),226-01,CONNEX GSM
Romania,Orange Romania,226-10,ORANGE
Russia,Dontelecom,250-10,DTC
Russia,Ermak RMS,250-17,ERMAK
Russia,Extel,250-28,EXTEL RUS
Russia,Far Eastern Cellular,250-12,
Russia,Kuban,250-13,KUGSM
Russia,MegaFon,250-02,MegaFon
Russia,MTS,250-01,MTS-RUS
Russia,NCC,250-03,RUS NCC
Russia,NTC,250-16,RUS NTC
Russia,Primtelefon,250-92,Primtel
Russia,SCS-900,250-05,RUS 05
Russia,Sibchallenge,250-04,
Russia,Smarts,250-07,SMARTS
Russia,Stavtelesot (N Caucasian GSM),250-44,NC-GSM
Russia,Uraltel,250-39,RUS 39
Russia,VimpelCom (BeeLine),250-99,BEE LINE
Rwanda,MTN Rwandacell,635-10,RCELL
Saudi Arabia,Saudi Telecom Company (STC),420-01,AL JAWWAL
Senegal,Sentel GSM,608-02,SN-SENTEL SG
Senegal,Sonatel (Alize),608-01,SN ALIZE
Serbia and Montenegro,Mobtel,220-01,YU MOBTEL
Serbia and Montenegro,Monet,220-04,Monet
Serbia and Montenegro,ProMonte,220-02,ProMonte
Serbia and Montenegro,Telkom Srbija,220-03,SCGTS
Seychelles,Telecom Seychelles (Airtel),633-10,AIRTEL
Seychelles,Cable & Wireless,633-01,SEZ-SEYCEL
Sierra Leone,Celtel,619-01,CELTEL SL
Singapore,StarHub,525-05,STARHUB-SGP
Singapore,Singapore Telecom,525-01,ST-GSM-SGP
Singapore,MobileOne,525-03,SGP-M1-GSM
Slovak Rebublic,Eurotel Bratislava,231-02,ET-SK
